ORG_CODE,ORG_TYPE
SII,satellite manufacturer
SIL,satellite manufacturer
SILK,organization
SIMED,engine/motor manufacturer
SIMED,launch agency
SIMED,launch vehicle manufacturer
SIMED,school
SIMG,organization
SINDO,organization
SINO,organization
SIR,organization
SIRX,organization
SIS,launch agency
SISE,satellite manufacturer
SISP,engine/motor manufacturer
SITAEL,satellite manufacturer
SITP,satellite manufacturer
SJSU,organization
SJSU,satellite manufacturer
SK,country
SKB30,launch agency
SKB30,launch vehicle manufacturer
SKB385,launch vehicle manufacturer
SKB385,satellite manufacturer
SKB385Z,satellite manufacturer
SKC,organization
SKC,satellite manufacturer
SKPJ,organization
SKTEL,organization
SKYB,organization
SKYBOX,organization
SKYBOX,satellite manufacturer
SKYM,organization
SKYTE,organization
SLREC,engine/motor manufacturer
SLU,organization
SLU,satellite manufacturer
SMCTV,organization
SMCXR,organization
SMDC,launch agency
SMDC,organization
SMDC,satellite manufacturer
SMDC,school
SMSA,launch agency
SMSA,school
SNCASE,satellite manufacturer
SNECB,engine/motor manufacturer
SNECBL,engine/motor manufacturer
SNECDE,engine/motor manufacturer
SNECMA,engine/motor manufacturer
SNECMA,launch vehicle manufacturer
SNECMS,engine/motor manufacturer
SNECPS,engine/motor manufacturer
SNECV,engine/motor manufacturer
SNECVR,engine/motor manufacturer
SNPE,engine/motor manufacturer
SNU,satellite manufacturer
SNVL,satellite manufacturer
SNVP,satellite manufacturer
SOCOM,organization
SOHLA,organization
SOHLA,satellite manufacturer
SOKA,organization
SOKA,satellite manufacturer
SOLM,organization
SOR,organization
SORUN,organization
SORUN,satellite manufacturer
SOSA,organization
SOTON,school
SOYUZ,engine/motor manufacturer
SPA,satellite manufacturer
SPAC,organization
SPAR,satellite manufacturer
SPARD,satellite manufacturer
SPARM,satellite manufacturer
SPAWSD,organization
SPDEV,engine/motor manufacturer
SPDEV,satellite manufacturer
SPER,satellite manufacturer
SPFL,launch agency
SPFL,launch site
SPFL,launch vehicle manufacturer
SPFL,school
SPG,satellite manufacturer
SPHARM,satellite manufacturer
SPHARS,satellite manufacturer
SPIRE,organization
SPIREG,satellite manufacturer
SPMIC,satellite manufacturer
SPOG,launch agency
SPOT,organization
SPQ,organization
SPQ,satellite manufacturer
SPUT,organization
SPUT,satellite manufacturer
SPVR,organization
SPX,launch agency
SPX,launch vehicle manufacturer
SPX,organization
SPX,satellite manufacturer
SPX,school
SPXES,launch agency
SPXES,satellite manufacturer
SPXS,satellite manufacturer
SPXTX,engine/motor manufacturer
SPXTX,launch agency
SR,country
SRC,launch agency
SRC,organization
SRC,satellite manufacturer
SRCI,launch vehicle manufacturer
SRCI,school
SRDL,launch agency
SRDL,organization
SRDL,satellite manufacturer
SRDL,school
SRI,school
SRII,organization
SRII,satellite manufacturer
SRMU,organization
SRMU,satellite manufacturer
SROE,launch vehicle manufacturer
SS500,launch agency
SSC,launch agency
SSC,launch vehicle manufacturer
SSC,organization
SSC,satellite manufacturer
SSC,school
SSCO,organization
SSDC,launch agency
SSDC,school
SSI,launch agency
SSI,school
SSICE,organization
SSICE,satellite manufacturer
SSICE,school
SSIM,organization
SSL,satellite manufacturer
SSLMAX,satellite manufacturer
SSTARS,organization
SSTARS,satellite manufacturer
SSTL,organization
SSTL,satellite manufacturer
SSTLA,organization
SSTLA,satellite manufacturer
ST2V,organization
STA,engine/motor manufacturer
STA,launch agency
STA,launch vehicle manufacturer
STA,school
STADK,organization
STADK,satellite manufacturer
STAN,organization
STAN,satellite manufacturer
STAN,school
STBO,organization
STBO,satellite manufacturer
STEL,organization
STELLT,organization
STEN,satellite manufacturer
STGL,organization
STL,satellite manufacturer
STLC,organization
STMS,satellite manufacturer
STO,school
STONE,organization
STP,organization
STRELA,launch vehicle manufacturer
STSM,launch agency
STSM,organization
STST,engine/motor manufacturer
STST,launch agency
STST,launch vehicle manufacturer
STST,school
SU,country
SU190,satellite manufacturer
SU523,satellite manufacturer
SU782,satellite manufacturer
SUD,engine/motor manufacturer
SUD,launch vehicle manufacturer
SUD,school
SUEL,launch vehicle manufacturer
SUEL,satellite manufacturer
SUI,launch agency
SUI,launch vehicle manufacturer
SUI,satellite manufacturer
SUI,school
SUPA,launch agency
SUPA,launch vehicle manufacturer
SUPA,organization
SUPA,satellite manufacturer
SUPA,school
SUPAER,satellite manufacturer
SUPSI,organization
SUPSI,satellite manufacturer
SURREY,organization
SURREY,satellite manufacturer
SUSX,school
SUT,satellite manufacturer
SVC,launch agency
SVC,launch vehicle manufacturer
SWALES,satellite manufacturer
SWARM,satellite manufacturer
SWRI,school
SWRIB,school
SY,country
SYMC,launch agency
SYMC,launch vehicle manufacturer
SZRTC,engine/motor manufacturer
T,country
TAIFUN,engine/motor manufacturer
TAIFUN,launch vehicle manufacturer
TAMA,organization
TAMA,satellite manufacturer
TAMU,organization
TAMU,satellite manufacturer
TAO,school
TARTU,satellite manufacturer
TAYLU,organization
TAYLU,satellite manufacturer
TBELLA,organization
TBELLA,satellite manufacturer
TC,country
TCAN,organization
TCI,organization
TECN,organization
TECN,satellite manufacturer
TEIK,organization
TEIK,satellite manufacturer
TEIK,school
TEKEV,organization
TELB,organization
TELBR,satellite manufacturer
TELD,organization
TELED,organization
TELK,organization
TELMX,organization
TEMIS,satellite manufacturer
TERMAB,satellite manufacturer
TERRE,organization
TESLA,satellite manufacturer
TETHA,satellite manufacturer
TF,country
TF88,launch agency
TF88,school
THAIC,organization
THALA,satellite manufacturer
THALES,satellite manufacturer
THALR,satellite manufacturer
THK,engine/motor manufacturer
THKE,engine/motor manufacturer
THKE,launch vehicle manufacturer
THKU,engine/motor manufacturer
THKU,satellite manufacturer
THKX,engine/motor manufacturer
THKX,launch vehicle manufacturer
THKX,satellite manufacturer
THKXM,engine/motor manufacturer
THUR,organization
THURY,organization
TIANJ,engine/motor manufacturer
TIFR,school
TIT,organization
TIT,satellite manufacturer
TITV,control center
TJHS,organization
TJHS,satellite manufacturer
TLS,school
TM,country
TMI,organization
TMSAT,organization
TMTEL,organization
TMU,school
TNO,satellite manufacturer
TNOR,organization
TO,country
TOHO,organization
TOHO,satellite manufacturer
TOHO,school
TOK,organization
TOK,satellite manufacturer
TOK,school
TOKAI,satellite manufacturer
TOKAI,school
TONG,organization
TORP,organization
TORP,satellite manufacturer
TOSH,satellite manufacturer
TOYA,school
TPS,organization
TPS,satellite manufacturer
TPS,school
TR,country
TROM,school
TRORB,organization
TRW,engine/motor manufacturer
TRW,launch vehicle manufacturer
TRW,organization
TRW,satellite manufacturer
TRW,school
TRWAA,satellite manufacturer
TRWC,satellite manufacturer
TRWESL,satellite manufacturer
TRWRC,satellite manufacturer
TSAO,launch agency
TSAO,school
TSBM,organization
TSCJ,organization
TSHUA,organization
TSHUA,satellite manufacturer
TSKB7,engine/motor manufacturer
TSKB7,satellite manufacturer
TSKBE3,organization
TSKBE3,satellite manufacturer
TSKBEM,organization
TSKBEM,satellite manufacturer
TSKBM,organization
TSKBM,satellite manufacturer
TSKY,organization
TSKYBR,organization
TSN108,organization
TSPZ,organization
TSPZ,satellite manufacturer
TSROK,control center
TSSKB,organization
TSSKB,satellite manufacturer
TSSKBP,organization
TSSKBP,satellite manufacturer
TSUK,satellite manufacturer
TSUK,school
TSUKOS,launch agency
TSUKOS,organization
TSUKU,organization
TSUKU,satellite manufacturer
TSVS,organization
TTPI,country
TTY,school
TUAF,launch agency
TUAFA,satellite manufacturer
TUB,organization
TUB,satellite manufacturer
TUB,school
TUBAFA,satellite manufacturer
TUBI,school
TUBTK,organization
TUBTU,organization
TUBTU,satellite manufacturer
TUC,school
TUD,organization
TUD,satellite manufacturer
TUG,organization
TUG,satellite manufacturer
TUI,organization
TUI,satellite manufacturer
TUM,organization
TUM,satellite manufacturer
TUMED,organization
TURAB,organization
TURKP,organization
TURKS,organization
TURKT,organization
TUSAS,satellite manufacturer
TW,country
TXWC,launch agency
TXWC,school
TYVAK,satellite manufacturer
UA,country
UAE,country
UAF,launch agency
UAF,organization
UAF,satellite manufacturer
UAF,school
UAH,organization
UAH,satellite manufacturer
UAH,school
UAHCM,school
UAP,organization
UAP,satellite manufacturer
UAZ,organization
UAZ,satellite manufacturer
UAZ,school
UBC,school
UCAN,launch agency
UCAN,school
UCB,organization
UCB,satellite manufacturer
UCB,school
UCL,launch agency
UCL,school
UCO,organization
UCO,satellite manufacturer
UCO,school
UCSD,school
UCW,school
UDAYT,school
UFA,satellite manufacturer
UFL,organization
UFL,satellite manufacturer
UFL,school
UFSM,organization
UFSM,satellite manufacturer
UGATU,organization
UGATU,satellite manufacturer
UHI,organization
UHI,satellite manufacturer
UHI,school
UIA,satellite manufacturer
UIA,school
UIO,launch agency
UIO,school
UIUC,organization
UIUC,satellite manufacturer
UIUC,school
UK,country
UKMO,launch agency
UKMO,school
UKNR,launch agency
UKRN,launch agency
UKS,organization
UKS,satellite manufacturer
UKSA,organization
UKSPOC,organization
UKTSB,organization
UKY,school
ULAB,launch agency
ULAL,launch agency
ULLAF,organization
ULLAF,satellite manufacturer
ULM,school
UM67,country
UM79,country
UMAL,school
UMBC,organization
UMBC,satellite manufacturer
UMD,launch agency
UMD,launch vehicle manufacturer
UMD,school
UMI,launch agency
UMI,launch vehicle manufacturer
UMI,organization
UMI,satellite manufacturer
UMI,school
UMIAMI,school
UMN,school
UNAM,organization
UNAM,satellite manufacturer
UNAM,school
UNB,organization
UNB,satellite manufacturer
UNH,organization
UNH,satellite manufacturer
UNH,school
UNIPE,organization
UNIPE,satellite manufacturer
UNIS,organization
UNIS,satellite manufacturer
UNK,engine/motor manufacturer
UNK,launch agency
UNK,launch vehicle manufacturer
UNK,organization
UNK,satellite manufacturer
UNK,school
UNKS,launch agency
UNKS,organization
UNKSR,launch agency
UNKSR,organization
UNKUS,satellite manufacturer
UNKUS1,satellite manufacturer
UNMC,organization
UNMC,satellite manufacturer
UNRV,launch agency
UNSW,satellite manufacturer
UNSWC,satellite manufacturer
UOS,organization
UOS,satellite manufacturer
UPAE,engine/motor manufacturer
UPAE,launch agency
UPAE,launch vehicle manufacturer
UPAE,school
UPC,school
UPD,satellite manufacturer
UPM,organization
UPM,satellite manufacturer
UQU,launch agency
UQU,school
URDEI,organization
URUGUS,satellite manufacturer
US,country
US7A,launch agency
US8A,launch agency
USA,launch agency
USA,organization
USA,school
USAF,launch agency
USAF,organization
USAF,school
USAFA,launch agency
USAFA,launch vehicle manufacturer
USAFA,organization
USAFA,satellite manufacturer
USAFA,school
USCG,organization
USCLA,organization
USCLA,satellite manufacturer
USCLA,school
USCMR,organization
USCMR,satellite manufacturer
USDMA,organization
USEF,organization
USERAR,organization
USERAR,satellite manufacturer
USGS,organization
USMA,organization
USMA,satellite manufacturer
USN,engine/motor manufacturer
USN,launch agency
USN,launch vehicle manufacturer
USN,organization
USN,school
USNA,organization
USNA,satellite manufacturer
USNPS,organization
USNPS,satellite manufacturer
USNTB,school
USTC,satellite manufacturer
USU,organization
USU,satellite manufacturer
USU,school
USYD,satellite manufacturer
UT,organization
UT,satellite manufacturer
UTC,engine/motor manufacturer
UTC,satellite manufacturer
UTCISR,satellite manufacturer
UTCWL,satellite manufacturer
UTD,school
UTE,satellite manufacturer
UTEP,school
UTIAS,organization
UTIAS,satellite manufacturer
UTIAS0,organization
UTIAS0,satellite manufacturer
UTOR,school
UTR,school
UUT,school
UVA,school
UVIE,organization
UVT,school
UWA,school
UWI,satellite manufacturer
UWI,school
UWO,school
UY,country
UZKA,launch agency
VANDU,organization
VAP,school
VAST,organization
VATP,satellite manufacturer
VE,country
VENT,engine/motor manufacturer
VENT,launch vehicle manufacturer
VER,satellite manufacturer
VERSI,satellite manufacturer
VFW,satellite manufacturer
VFW2,satellite manufacturer
VFWF,satellite manufacturer
VIA,organization
VIGO,organization
VIGO,satellite manufacturer
VILN,organization
VILN,satellite manufacturer
VISTE,organization
VITA,organization
VKI,organization
VKS,launch agency
VKS,organization
VKSR,launch agency
VKSR,organization
VMF,launch agency
VMF,organization
VMFR,launch agency
VMFR,organization
VN,country
VNIEM,organization
VNIEM,satellite manufacturer
VNIEMR,organization
VNIEMR,satellite manufacturer
VNIIEMI,satellite manufacturer
VNPT,organization
VNSC,organization
VNSC,satellite manufacturer
VOENT,organization
VORO,engine/motor manufacturer
VOTK,engine/motor manufacturer
VOTK,launch vehicle manufacturer
VOUA,engine/motor manufacturer
VOUA,launch vehicle manufacturer
VSSC,engine/motor manufacturer
VSSC,launch vehicle manufacturer
VSSC,satellite manufacturer
VSSC,school
VTC,organization
VTC,satellite manufacturer
VTS,organization
VTSR,organization
VULT,launch vehicle manufacturer
VVKO,launch agency
VVKOV,launch agency
VVS,launch agency
VVSR,launch agency
VZLU,satellite manufacturer
WADC,school
WADD,launch agency
WADD,school
WAKA,organization
WAKA,satellite manufacturer
WAML,school
WASEDA,organization
WASEDA,satellite manufacturer
WBLU,organization
WEB,organization
WEB,satellite manufacturer
WEBC,organization
WEBC,satellite manufacturer
WEHR,launch agency
WEHR,launch vehicle manufacturer
WEINA,organization
WELEC,launch vehicle manufacturer
WER271-1,launch agency
WER444,launch agency
WER485,launch agency
WER485-1,launch agency
WER485-2,launch agency
WER485-3,launch agency
WER500,launch agency
WER836,launch agency
WER836-1,launch agency
WER836-2,launch agency
WER836-3,launch agency
WER902,launch agency
WFC,launch agency
WFC,launch vehicle manufacturer
WFC,organization
WFF,launch agency
WFF,launch vehicle manufacturer
WFF,school
WI,launch site
WI,organization
WNI,organization
WORSP,organization
WORSP1,organization
WRE,engine/motor manufacturer
WRE,launch agency
WRE,launch vehicle manufacturer
WRE,organization
WRE,satellite manufacturer
WRE,school
WSMC,launch agency
WSMC,organization
WSMR,launch agency
WSMR,school
WSPG,launch agency
WTA,satellite manufacturer
WTR,launch agency
WTR,launch site
WUHAN,satellite manufacturer
WUPP,school
WURZ,organization
WURZ,satellite manufacturer
WUTC,organization
WXB,launch agency
X,country
XCOR,engine/motor manufacturer
XCYS,satellite manufacturer
XIDI,organization
XIDI,satellite manufacturer
XJRY,launch vehicle manufacturer
XMR,organization
XTAR,organization
YE,country
YERK,school
YKVZ,engine/motor manufacturer
YONS,satellite manufacturer
YORK,school
YORKSS,satellite manufacturer
YSP,launch agency
YUZGU,satellite manufacturer
YUZH,engine/motor manufacturer
YUZH,launch vehicle manufacturer
YUZH,organization
YUZH,satellite manufacturer
YUZHM,engine/motor manufacturer
ZA,country
ZAV23,launch vehicle manufacturer
ZAV23,satellite manufacturer
ZAV47,launch vehicle manufacturer
ZDFH,satellite manufacturer
ZHEJ,organization
ZHEJ,satellite manufacturer
ZHELZ,organization
ZHUORB,organization
ZIKH,launch vehicle manufacturer
ZIKH,organization
ZIKH,satellite manufacturer
ZIMN,launch vehicle manufacturer
ZLZB,launch agency
ZR,country
ZTZM,organization
ZVEZ,satellite manufacturer
ZZB,launch agency
ZZB,organization
ZZWYZ,organization
