LAUNCH_ID,PAYLOAD_ORG_CODE
5097,LRL
5098,LRL
5099,LRL
5100,LRL
5101,LRL
5102,LRL
5103,AFSWC
5104,SAND
5105,SCEL
5105,UMI
5106,SAND
5107,SAND
5108,SAND
5109,FIAN
5109,IAM
5113,SAND
5114,SAND
5115,SAND
5116,UMI
5117,SAND
5118,SAND
5119,SAND
5120,SAND
5121,LRL
5122,LRL
5123,LRL
5124,LRL
5125,LRL
5126,LRL
5127,SCEL
5127,UMI
5128,LRL
5129,LRL
5130,LRL
5131,LRL
5132,LRL
5133,LRL
5134,LRL
5135,LRL
5136,AFCRL
5137,AN
5138,UMI
5139,FIAN
5140,SCEL
5141,AFSWC
5142,AFCRL
5144,AFSWC
5145,AFSWC
5147,AFSWP
5147,TF88
5148,AFSWC
5150,FIAN
5150,IAM
5151,AFSWC
5152,AN
5153,AFSWC
5154,AFSWC
5157,AFSWP
5157,TF88
5158,AFSWC
5159,AFSWC
5160,AFSWC
5161,AFSWC
5162,AFSWC
5163,AFSWC
5164,AFSWC
5165,AFSWC
5168,AFSWC
5169,NRL
5170,AFSWC
5171,AFSWC
5172,AFSWC
5174,AFSWP
5174,TF88
5176,LARC
5178,AFCRL
5179,AFCRL
5180,NRL
5182,AFCRL
5184,AN
5186,UMI
5189,NRL
5194,FIAN
5195,AN
5197,LARC
5199,AN
5201,FIAN
5203,NRL
5204,NRL
5205,NRL
5206,NRL
5207,NRL
5208,NRL
5209,AFCRL
5209,OKSU
5211,UMI
5212,AFCRL
5212,OKSU
5213,SUI
5216,AFCRL
5216,OKSU
5217,UMI
5218,AFCRL
5218,OKSU
5219,SUI
5220,AFCRL
5220,OKSU
5222,AFCRL
5222,OKSU
5223,AN
5224,SUI
5226,AN
5227,NRL
5228,BRL
5232,NRL
5233,BRL
5234,NRL
5236,AN
5238,CARDE
5239,CARDE
5240,BRL
5241,NRL
5245,BRL
5246,AN
5247,BRL
5248,SAND
5249,SAND
5250,AN
5251,UMI
5252,AFCRL
5253,NRL
5255,AN
5257,NRL
5260,BRL
5260,UMI
5261,BRL
5262,NRL
5263,QUB
5264,NRL
5267,NMSU
5268,NMSU
5275,SAND
5276,FIAN
5277,SAND
5278,SAND
5280,AN
5281,FIAN
5284,AN
5286,FIAN
5297,NRL
5308,SUI
5319,NRL
5330,UMI
5341,FIAN
5352,SUI
5365,AN
5366,AN
5374,AFCRL
5380,SCEL
5381,SAO
5382,UMI
5383,UMI
5384,NRL
5385,AFCRL
5386,AFCRL
5387,NRL
5388,NRL
5389,BRL
5390,UMI
5395,LARC
5396,BIR
5396,ICST
5396,UCL
5398,LARC
5400,AFCRL
5401,NRL
5405,AFCRL
5406,QUB
5407,AFCRL
5408,AFCRL
5409,LARC
5411,LARC
5420,UCO
5421,RAE
5421,WRE
5425,BIR
5425,ICST
5425,UCL
5426,BIR
5426,ICST
5426,UCL
5429,UMI
5430,SAND
5431,AN
5432,UUT
5433,UUT
5434,BRL
5435,NRL
5436,NRL
5438,UUT
5439,BRL
5441,LRL
5442,USN
5443,USN
5444,USN
5445,USN
5446,USN
5447,USN
5448,USN
5449,USN
5450,USN
5451,USN
5452,USN
5453,USN
5454,USN
5455,USN
5456,SUI
5457,SUI
5458,SUI
5459,SUI
5460,SUI
5461,SUI
5462,SUI
5463,SUI
5464,SUI
5465,SUI
5466,SUI
5539,LRL
5551,RAE
5564,RAE
5565,LARC
5568,NRL
5572,BRL
5573,BRL
5584,GSFC
5586,NOTS
5592,GCA
5613,RCAF
5615,LARC
5618,LMSC
5625,WSMR
5633,RAE
5636,UUT
5648,BRL
5648,UMI
5649,UMI
5668,SAND
5670,PMR
5671,PMR
5672,WADD
5673,WADD
5674,WADD
5675,WADD
5676,WADD
5679,RCAF
5700,USA
5701,RCAF
5702,USA
5709,NMSU
5710,NMSU
5711,NMSU
5712,RCAF
5713,NMSU
5714,NMSU
5717,WRE
5718,WRE
5719,WRE
5721,RCAF
5725,RCAF
5735,RCAF
5737,ICST
5737,QUB
5737,UCL
5738,CNRS
5742,LARC
5749,LARC
5751,WSMR
5767,NOTS
5769,GSFC
5773,LARC
5800,FRC
5801,FRC
5801,NOTS
5805,SAND
5806,TAO
5807,KOBE
5808,TAO
5809,KOBE
5810,SAND
5811,SAND
5812,GSFC
5813,GSFC
5814,SUI
5815,SUI
5818,SAND
5819,SUI
5820,RAE
5820,WRE
5821,SAND
5822,SAND
5824,GSFC
5825,SAND
5826,SAND
5827,SAND
5828,SAND
5829,SAND
5830,SAND
5836,SAND
5837,ISAS
5838,NMSU
5839,NMSU
5840,SMSA
5841,FRC
5842,WRE
5843,FIAN
5847,ONERA
5848,SAND
5850,LARC
5852,UMI
5853,UMI
5854,FIAN
5855,AFSWC
5855,LMSC
5856,UCL
5857,PSU
5858,FIAN
5859,FIAN
5860,NRL
5861,SAND
5862,SAND
5863,SAND
5865,AN
5866,AFSWC
5866,LMSC
5867,FIAN
5868,FIAN
5869,AFSWC
5870,NRL
5871,FIAN
5873,AN
5875,RAE
5875,WRE
5878,NRL
5883,AFSWC
5889,GSFC
5891,NRL
5894,AFCRL
5897,NRL
5898,GCA
5899,UCL
5900,AFCRL
5901,NRL
5903,NRL
5906,SAND
5909,PSU
5911,NRL
5912,AFCRL
5913,NRL
5914,NRL
5915,NRL
5917,NRL
5919,CARDE
5920,CARDE
5921,CARDE
5924,CARDE
5925,GSFC
5928,GSFC
5929,AFCRL
5932,BIR
5932,UCL
5934,DRTE
5938,AFCRL
5939,AFCRL
5940,DRTE
5942,AFCRL
5944,BIR
5944,UCL
5947,AFCRL
5948,CNRS
5948,PARIS
5950,CNRS
5950,PARIS
5951,NOTS
5952,AFCRL
5954,AFCRL
5955,AFCRL
5956,AFCRL
5957,AFCRL
5964,AFCRL
5965,AFCRL
5967,AFCRL
5968,AFCRL
5969,AFCRL
5971,LARC
5973,AFCRL
5974,AN
5975,AN
5976,AFCRL
5977,AFCRL
5978,AFCRL
5986,UUT
5988,UUT
5989,LARC
5991,ICST
5991,RAE
5993,CNRS
5998,SAND
5999,SAND
6000,UUT
6001,NRL
6002,BRL
6002,UMI
6004,CNRS
6005,AFCRL
6006,AFCRL
6007,GCA
6010,AFCRL
6011,AFCRL
6012,GCA
6014,GCA
6016,AFCRL
6022,NRL
6023,QUB
6024,ICST
6024,UCL
6025,LARC
6026,AFCRL
6028,BIR
6028,ICST
6028,UCL
6029,AN
6030,AN
6037,SAND
6044,DRTE
6044,GSFC
6044,NRL
6047,SAND
6053,CNRS
6053,PARIS
6054,CNRS
6054,PARIS
6055,CNRS
6055,PARIS
6056,CNRS
6056,PARIS
6057,CNRS
6057,PARIS
6058,SAND
6061,WRE
6069,NRL
6080,LARC
6168,UCO
6179,NRL
6201,LMSC
6204,NMSU
6208,AFCRL
6209,LRL
6212,AFCRL
6214,SAND
6215,SAND
6217,AFCRL
