STAGE_NAME,MANUFACTURER_ORG_CODE
Navaho Missile,NAAD
Nazeat,IR
Neptune,ONERA
New Shepard PM,BLOR
Nihka,BAL
Nike,ABL
Nike-46,AJ
Nike-46 Sustainer,AJ
Nike-47,AJ
Nike-47 Sustainer,AJ
Nike-484 Sustainer,AJ
Nike-490 Sustainer,AJ
Nudol',ALMAN
Nudol' Booster,ALMAN
OAM,PRIMX
OIS,FAIR
OS-X0,SANJ
OTRAG,OTR
OV,RWI
Oka,KBM
Orbus 1,UTC
Orbus 1A,ATKE
Orbus 21D,UTC
Oreste,ATEF
Oriole,DTI
Orion,AJSP
Orion 38,ATKH
Orion 50,OSCC
Orion 50S,OSCC
Orion 50SG,OSCC
Orion 50SXLG,OSCC
Orion 50SXLT,OSCC
Orion 50XL,OSCC
Orion 50XLT,OSCC
Orion LAS,OSCC
Orion-1,IIAE
Orion-2,IIAE
P064,SUD
P068,SEP
PAL,DASA
PAM-D2,THKU
PAP,BPD
PBS,BELT
PBS,RDYNE
PDV Target St2,HAL
PS2,VSSC
PS3,VSSC
PS4,VSSC
PSOM,VSSC
PSOM-XL,VSSC
Paekkom Booster,ADD
Paiute,THKU
Patriot,THKU
Peacekeeper PBPS,RDYNE
Pedro,THKX
Pegasus XL Stage 1,OSCC
Peregrine,MSFC
Perimetr Stage 1,YUZH
Perimetr Stage 2,YUZH
Pershing 2 St1,MARTO
Pershing 2 St2,MARTO
Petrel,BAJUK
Petrel 2,BAJUK
Polaris TV,LMSC
Pollux,THKX
Prithvi,HAL
Private A,JPL
Private A Booster,JPL
Private F,JPL
Proson St1,CITEF
Proson St2,CITEF
Prosper,ATEF
R-1,NII88
R-11,OKB1
R-11FM,OKB1
R-12,OKB586
R-12 11K63A,OKB586
R-12 63S1A,OKB586
R-12 63S1MA,OKB586
R-13,SKB385
R-14,YUZH
R-14 11K65A,YUZH
R-14 11K65MA,POL
R-14 65S3A,YUZH
R-17,MAK
R-2,OKB1
R-21,SKB385
R-27,MAK
R-29 St 1,MAK
R-29 St 2,MAK
R-29R St 1,MAK
R-29R St 2,MAK
R-29RM St1,MAK
R-29RM St2,MAK
R-29RM St3,MAK
R-31 BS,ARSL
R-31 St 1,ARSL
R-31 St 2,ARSL
R-39 St 1,PAVKH
R-39 St 1,YUZH
R-39 St 2,MAK
R-39 St 3,MAK
R-5,OKB1
R-UNK,UNK
RH-125,VSSC
RH-125S,VSSC
RH-200,VSSC
RH-200SV,VSSC
RH-300,VSSC
RH-300 Booster,ISRO
RH-300 Mk II,VSSC
RH-560,VSSC
RH-560S,VSSC
RH-75,VSSC
RH-ATV,VSSC
RSA-3-1,IAI
RSA-3-2,IAI
RSA-3-3,HOUW
RSRM,THKU
RT-21 St1,MITT
RT-21 St2,MITT
RT-21 St3,MITT
RT-23 St 3,ISKRP
RTV Motor,JPL
RTV-A-3,NAA
RV-A-10,GEMTS
RX-250-LPN,LAPAN
RX-320,LAPAN
RX-420,LAPAN
Raven 1/1A/2A,RORD
Raven 11,RORD
Raven 2,RORD
Raven 5,RORD
Raven 6,RORD
Raven 7,RORD
Raven 8,RORD
Recruit,THKE
Recruit 1A,THKE
Redstone,CHRY
Redstone MRLV,CHRY
Regulus,VOUA
Regulus II,VOUA
Rita I,SEP
Rita I,SUD
Rita II,SEP
Rita II,SUD
Rocketsonde,UNK
Rocketsonde2,UNK
Rook,RORD
Rook II,RORD
Rook IIIA,RORD
Rook IIIB,RORD
S-160,ISAS
S-210,ISAS
S-250,ISAS
S-300,ISAS
S-310,ISAS
S-40,IAE
S-40TM,IAE
S-43,IAE
S-43 VLR-R2,IAE
S-43TM,IAE
S-44,IAE
S-44M,IAE
S-520,ISAS
S-A,MHITO
S-B,MHITO
S-C,MHITO
S1,YUZH
S125,VSSC
S139,VSSC
S1M,YUZH
S3,YUZH
S31,IAE
S3M,POL
S5M,YUZH
S9,VSSC
SA-II,MHITO
SARGE,EXOSA
SB-310,ISAS
SB-735,ISAS
SDC Viper,SDCO
SEGPRO,VSSC
SEP 901,SEP
SEP 901,SUD
SEP 902,SEP
SEP 902,SUD
SEP 903,SEP
SEP 904,SEP
SEP 904,SUD
SEPR P167,SEP
SEPR-732,SUD
SICBM,THKU
SICBM PBS,MMD
SICBM St 2,AJSP
SICBM St 3,HERC
SLV-3 Booster,GDA
SLV-3-1,VSSC
SLV-3-2,VSSC
SLV-3-3,VSSC
SLV-3-4,VSSC
SLV-3C Booster,GDA
SLV-3D Booster,GDA
SM-3-II-2,MHI
SM-3-II-3,MHI
SOZ,PROG
SPRAN-50,ONERA
SQ-1S,SANJ
SR118,THKU
SR119,AJSP
SR120,HERC
SR19,AJSP
SR19AJ1,AJSP
SR19AJ1-ATK,ATKH
SR73AJ1,AJSP
SR73AJ1-ATK,ATKH
SRAM,BOUT
SRM,THKU
SRMU,ATKP
SS-50,IIAE
SS-520 St 2,ISAS
SS-520 St 3,ISAS
ST,MHITO
ST-735,ISAS
ST-735 Stage 2,ISAS
ST-735-SB,NISST
STIG-A,ARMAD
STIG-B,ARMAD
Safir Stage 2,IR
Saluki B,IMIS
Saluki S,IMIS
Sandhawk,SAND
Saturn S-I,MSFC
Saturn S-IB,CHRMI
Saturn S-IC,BOMI
Saturn S-II,NAASB
Saturn S-IV,MSFC
Saturn S-IVB,DACHB
Saturn S-IVD,MSFC
Saturn S-V,GDA
Scud,MAK
Scud B,MAK
Scud D,KPA
Seagull,USN
Sejjil,IR
Sejjil Stage 2,IR
Seliger 1,DRG
Seliger 3,DRG
Sergeant,THKX
Shahab 3,IR
Shaheen,ARMT
Shaheen 2 St 1,ARMT
Shaheen 3 St 2,PKNDC
Shaheen St 2,PKNDC
Shaviyt 1,IAI
Short Al Hussein,MAK
Shourya,DRDO
Shourya Booster,DRDO
Shrike,NWC
Sidewinder,THKX
Sidewinder 1A,NOTS
Sidewinder 1A,THKX
Sidewinder 1A-15,NOTS
Sidewinder 1A-15,THKX
Sidewinder 1D,THKX
Silver Sparrow,IAI
Simorgh Stage 1,IR
Simorgh Stage 2,IR
Sirocco,SDCO
Skat,THKX
Skua,BAJUK
Skua 2,BAJUK
Skua 3,BAJUK
Skybolt St1,DAC
Skybolt St2,DAC
Smart Dispenser,CALT
Snark Booster,NORTH
Snipe,RORD
Sonda 1-1,IAE
Sonda 1-2,IAE
Sonda 2A,AVIB
Sonda 2M,AVIB
Sonda 3-1,IAE
Soyuz-2-1V 132KS,PROG
SpaceLoft XL,UPAE
Spaceship One,SCAL
Spaceship Two,SCAL
Sparrow,HUMS
Squirt St 1,MARTO
Squirt St 2,MARTO
Stable Super Loki,SDCO
Star 20,THKE
Star 26,ATKE
Star 26B,ATKE
Star 26C,ATKE
Star 27,ATKE
Star 37B,THKE
Star 37C,THKE
Star 37D,THKE
Star 37E,THKE
Star 37F,THKE
Star 37FM,THKE
Star 37FMV,THKE
Star 37N,THKE
Star 37S,THKE
Star 37XE,THKE
Star 37XF,THKE
Star 37XFP,THKE
Star 48,THKE
Star 48B,THKE
Star 48B AKM,THKE
Star 48BV,THKE
Star 48V,THKE
Start,MITT
Stonechat I,RORD
Stonechat II,RORD
Stratos II+,DARE
Strela APB,KHRU
Stromboli,ONERA
Super Arcas,ATLR
Super Loki,SDCO
Sword,LPC
T-40,THKE
T-55,THKE
T-7,SIMED
T-7 booster,SIMED
T48,MARTB
THAAD,LMPCO
THAAD Proto,LMCO
