STAGE_NAME,STAGE_FAMILY,STAGE_ALT_NAME,LENGTH,DIAMETER,LAUNCH_MASS,DRY_MASS,THRUST,DURATION,ENGINE_ID,ENGINE_COUNT
ASAS XL,SM3.TSRM,,.9,.53,.1,,7,15,602,1
ASAT,SRAM,,4.3,.46,1,,,,465,1
ASR SRB-A,H2.SRB,,11.7,2.6,76.5,8700,2271,116,333,1
ASROC,HOTROC,,4.5,.34,.4,40,49,,599,1
ATACMS,ATACMS,,4,.61,1.2,,180,,149,1
ATSM-9,Jericho,,5.3,1.35,9.1,1000,610,55,151,1
AUS-51,AUS-51,,2.6,1.35,2,170,58,92,152,1
AVUM,AVUM,,1.7,1.93,1,494,2.5,667,793,1
AVUM-RD868P,AVUM,,1.7,1.93,1,494,2.5,667,809,1
Ababeel St 3,DF-21,,3.3,1.4,4,,,,153,1
Abid St1,Abid,,8,2.64,25,3000,1500,90,154,5
Abid St2,R-11,,8,.88,6,1600,,,917,1
Abid St3,Abid.St3,,1,.5,,,,,155,1
Aeolus Booster,LongTom,,1.8,.41,.3,,80,2.7,450,7
AeroHTV,AeroHTV,,1.7,.23,.1,,,,492,7
AeroHTV Stage 2,AeroHTV2,,1.7,.15,.1,,,,492,4
Aerobee 100,Aerobee,Aerobee Jr,3.6,.38,.5,119,11.5,40,157,1
Aerobee 150,Aerobee,Aerobee,5.1,.38,.7,133,17.8,51.4,139,1
Aerobee 150A,Aerobee,Aerobee,5.1,.38,.6,133,17.8,51.4,139,1
Aerobee 75,Orion,,4,.35,.5,142,13,32,522,1
Aerobee AJ10-24,Aerobee,,5.8,.38,.5,184,17.8,32.1,131,1
Aerobee AJ10-25,Aerobee,,5.8,.38,.5,184,17.8,32.1,132,1
Aerobee AJ10-27,Aerobee,,5.8,.38,.5,184,17.8,32.1,133,1
Aerobee AJ10-34,Aerobee,,5.8,.38,.5,184,17.8,32.1,134,1
Aerobee Booster,AerobeeB,,1.8,.33,.3,140,80,2.5,141,1
Aerobee XASR-1,Aerobee,,5.8,.38,.7,184,11.6,32.1,1206,1
Aerojet Jr,Sergeant,,5.7,.79,4,,254,28,158,1
Agate,Agate,VE110   Agate,4.5,.8,2,100,190,18,623,1
Agena A,Agena,,3,1.52,3.8,400,69,120,213,1
Agena B,Agena,,6.2,1.52,7,750,71,480,215,1
Agena D,Agena,,6.2,1.52,7,750,71,480,215,1
Agni,ASLV,,11,1,11.5,2900,700,50,162,1
Agni 4 Stage 2,AgniII.St2,,6,1,4.2,,,60,165,1
Agni II Stage 2,AgniII.St2,,6,1,4.2,,,60,165,1
Agni III,Agni3,,7.7,2,33,2970,1040,75,163,1
Agni III Stage 2,Agni3,,3.1,2,14,1820,314,110,164,1
Agni V,Agni3,,7.7,2,33,2970,1040,75,163,1
Agni V Stage 2,Agni3,,3.1,2,14,1820,314,110,164,1
Agni V Stage 3,Agni3,,3,2,10,500,,,166,1
Aigle,Stromboli,,3,.56,.9,246,75,16,946,1
Ajax,Ajax,,4.5,.3,.5,372,11.6,30,167,1
Ajax Cluster,Ajax,,6,.76,1.2,,50,71,167,4
Ajax Cluster 1810,Ajax,,6,.76,1.2,,50,71,168,4
Al Abbas,R-11,,10.9,.88,7.6,1600,,,917,1
Al Fatah,Fatah,,4.6,.5,1,454,130,15,170,1
Al Hussein,R-11,,9.5,.88,5.9,1600,,,917,1
Al Samoud,V-750,,6,.5,2,360,13.8,52,907,1
Al Samoud 2,Samoud,,5,.76,2,505,13.8,52,907,1
AlKahir,AlKahir,,10,1.22,10,,,,171,1
Alcor,Alcor,,1.9,.52,.5,200,36,30,72,1
Alcor IA,Alcor,,1.9,.52,.5,200,49,23,60,1
Alcor IB,Alcor,,1.9,.52,.5,88,42,26,172,1
Alcyone,BE3,,.6,.6,.1,39,34,8,202,1
Alfa,Alfa,,3.8,1.37,6.5,1000,250,57,173,1
Algol 1,Scout,,9.4,1.02,10.7,1380,413,44,175,1
Algol 1A,Scout,,9.4,1.02,10.7,1200,420,44,176,1
Algol 1B,Scout,,9.4,1.02,10.7,1200,420,44,177,1
Algol 1C,Scout,,9.4,1.02,10.7,1200,440,44,178,1
Algol 1D,Scout,,9.4,1.02,10.7,1200,440,44,179,1
Algol 2A,Scout,,9.1,1.02,10.7,1200,380,60,180,1
Algol 2B,Scout,,9.1,1.02,10.7,1170,400,80,181,1
Algol 2C,Scout,,9.1,1.02,10.8,1200,436,76,182,1
Algol 3A,ScoutD,,9.4,1.14,14.3,1600,471,56,174,1
Altair,Altair,,1.8,.46,.3,24,13,39,1188,1
Altair 2,Altair,,1.5,.46,.3,33,27.2,28,1197,1
Amethyste,Emeraude,,14,1.4,20.3,2500,415,119,1151,1
Angara URM,Angara,,25.7,2.9,142.4,9800,2086,337.5,772,1
Angara URM-1,Angara,,27.7,2.9,142.4,9800,2086,337.5,772,1
Angara URM-2,URM-2,,5.5,3.6,39.8,4000,294.3,359,726,1
Antares,Antares,,3.3,.76,1.2,240,60,38,1193,1
Antares 2,Antares,Antares II X-259,2.9,.76,1.3,107,93,36,1199,1
Antares 2 Stage 1,Zenit,,27.6,3.9,260.7,18715,3844,235,771,2
Antares 2B,Antares,,2.9,.76,1.3,,93,36,1199,1
Antares 3,Antares,,2.9,.76,1.4,95,82.3,45,1034,1
Antares Stage 1,Zenit,,27.6,3.9,260.7,18715,3260,235,140,2
Apache,Deacon,,2.6,.166,.1,39,21,6,1077,1
Apollo LES,Apollo.LES,LES,10.2,.66,2.5,,690,3,464,1
Arcas,Arcas,,1.8,.11,0,15,1.5,29,546,1
Arcon,Arcon,,2.5,.15,.1,30,4.5,33,183,1
Arcon booster,ArcasB,,.7,.1,0,8,14,.4,184,1
Ares I-X,SRB,,50.9,3.77,590,110000,11790,123,977,1
Ariane 5 EPC H158,Ariane5,,30.5,5.46,170,12700,1114,589,1176,1
Ariane 5 EPC H175,Ariane5,,30.5,5.46,189,14200,1320,540,1177,1
Ariane 5 EPS,EPS,,4.9,5.46,12.5,2700,29,1100,160,1
Ariane 5 EPS P2000,EPS,EPS L10,5.2,5.46,13,2850,29,1100,160,1
Ariane EAP P238,Vega,,31.6,3.01,277.6,39800,6719,129,294,1
Ariane EAP P240,Vega,,31.6,3.01,280,40000,6719,130,295,1
Ariane H10,Ariane.St3,H10,11.8,2.6,12.5,1740,62.7,720,343,1
Ariane H10+,Ariane.St3,H10+,11.8,2.6,12.8,1740,62.7,750,343,1
Ariane H10-3,Ariane.St3,H10-3,12.1,2.6,13.5,1780,62.7,780,343,1
Ariane H8,Ariane.St3,H8,10.2,2.6,9.7,1450,61.6,563,342,1
Ariane L144,Ariane,,18.4,3.8,160,13750,2462,146,1170,4
Ariane L220,Ariane,,25.4,3.8,246,17900,3034,205,1171,4
Ariane L33,Ariane.St2,L33,11.6,2.6,38.9,3500,785,126,1169,1
Arrow 3,Arrow3,,6.5,.7,1,,,,365,1
Arrow 3 Stage 2,Arrow3,,3.5,.7,.5,,,,365,1
Arrow II,Loki,,1.5,.08,.01,2,10,2,185,1
Asp,Asp,,2.7,.165,.1,18,26,5.3,839,1
Asp II,Asp,,2.7,.165,.1,18,26,3.6,186,1
Asp III,Asp,,2.7,.165,.1,18,26,3.3,187,1
Asp IV,Asp,Asp,2.8,.165,.094,27,12.7,12,840,1
Astra Stage 1,Astra,,8,1,4,,,,188,4
Astra Stage 2,Astra,,2,1,2,,,,188,1
Astrid,Astrid,,1.9,.17,.02,8,.4,30,569,4
Astris,Astris,,3.8,2.03,3.6,800,22.5,361,189,1
Astrobee D,AstrobeeD,,2.8,.15,.1,20,8.9,17,190,1
Astrobee F,AstrobeeF,,7.3,.38,1.3,250,36.4,51.1,191,1
Atea-1,Atea,,3,.15,.06,,6.9,14.5,192,1
Atlas A,Atlas,,21.8,3.05,82,7000,0,125,,1
Atlas A Booster,Atlas.Booster,,4.5,3.05,3.5,3500,1335,128,532,1
Atlas B,Atlas,,21.9,3.05,108,3850,267,253.6,533,1
Atlas B Booster,Atlas.Booster,,4.5,3.05,3.5,3500,1335,128,531,1
Atlas Booster,Atlas.Booster,,4.5,3.05,3.2,3200,2065,165,540,1
Atlas C,Atlas,,21.9,3.05,108,3850,267,253.6,533,1
Atlas C Booster,Atlas.Booster,,4.5,3.05,3.5,3500,1335,128,531,1
Atlas CCB,Atlas5,,32.5,3.8,304,20890,3800,240,770,1
Atlas D,Atlas,,22,3.05,115,3400,253,281,535,1
Atlas D Booster,Atlas.Booster,,4.5,3.05,3.4,3400,1375,135,534,1
Atlas E,Atlas,,20,3.05,116,3500,253,288,535,1
Atlas E/F Booster,Atlas.Booster,,4.5,3.05,3.2,3200,1468,131,536,1
Atlas F,Atlas,,20,3.05,116,3500,253,312,535,1
Atlas G,Atlas,,22.2,3.05,142.5,4240,386.5,266,539,1
Atlas G Booster,Atlas.Booster,,4.5,3.05,3.2,3200,1682,140,538,1
Atlas H,Atlas,,21.2,3.05,142.5,4240,380.6,266,539,1
Atlas I,Atlas,,22.2,3.05,142.5,4240,380.6,266,539,1
Atlas II,Atlas,,24.9,3.05,163.5,10350,380.6,274,539,1
Atlas II Booster,Atlas.Booster,,4.5,3.05,3.2,3200,1909,140,540,1
Atlas III,Atlas,,29,3.05,195,13725,4152,190,770,1
Atlas MA-5 Booster,Atlas.Booster,,4.5,3.05,3.2,3200,1870,140,538,1
Atlas SLV-3,Atlas,SLV-3,21,3.05,118,3000,250,312,539,1
Atlas SLV-3A,Atlas,,24,3.05,142,3700,386,175,539,1
Atlas SLV-3C,Atlas,,21.9,3.05,128.5,4000,267,260,539,1
Atlas SLV-3D,Atlas,,21.2,3.05,128.5,4000,386.5,260,539,1
Atlas V SRM,AtlasVSRM,,19.5,1.55,46.2,3600,1361,91,116,1
Aurore,Aurore,,2.1,.13,.05,20,10.5,5.3,193,1
B-47 Stratojet,Air,,0,0,0,0,0,0,,0
B-52H,Air,,0,0,0,0,0,0,,0
B-57A Canberra,Air,,0,0,0,0,0,0,,0
B-58 Hustler,Air,,0,0,0,0,0,0,,0
B-611,DF-11,,9.4,.88,2,1645,93.2,,266,1
BE-3,BE3,,.6,.6,.1,28,34,9,197,1
BE-3A4,BE3,,.6,.6,.1,28,34,9,199,1
BE-3A5,BE3,,.6,.6,.1,28,34,9,200,1
BE-3A9,BE3,,.6,.6,.1,28,34,9,201,1
BER,Stromboli,,4.7,.56,1.9,700,170,20,947,1
BLDT,BLDT,,0,0,0,0,0,0,855,4
BOZ,BOZ,,0,0,0,0,0,0,,0
BT-310,S-310,S310,6,.31,.6,230,80,31.6,887,1
Baby Sergeant,BabySergeant,,1.2,.15,.025,4,8.6,7.6,842,1
Badr-1,Grad,,5,.6,1,,,,207,1
Balloon,Air,,0,0,0,0,0,0,,0
Belier,Belier,,2.9,.31,.3,100,20,23.4,384,1
Belier II,Belier,,2.9,.31,.3,80,20,23.4,211,1
Belier III,Belier,,2.9,.31,.3,100,20,23.4,1152,1
Belisama,Belisama,,1.6,.1,.03,14,24,.9,212,1
Berenice St2,Stromboli,,3.8,.56,1.1,372,170,20,949,1
Black Arrow,BlackArrow,,5.8,2,14.1,1070,251,125,321,1
Black Arrow St2,BlackArrow.St2,St 2,3.2,1.37,3.5,535,69,113,318,1
Black Brant I,BB5,Black Brant 1,5.3,.44,1.1,,110,15,43,1
Black Brant IIB,BB5,Black Brant 2B,5.2,.44,1,150,89,23,61,1
Black Brant IIIA,BB3,BB3,3.7,.26,.3,50,49,9,100,1
Black Brant IIIB,BB3,BB3B,3.9,.26,.3,50,45,12,21,1
Black Brant Mk1,BB5,Black Brant 5C,5.3,.44,1.2,240,68.2,33,194,1
Black Brant Mk3,BB5,Black Brant 5C,5.3,.44,1.2,240,68.2,33,195,1
Black Brant Mk4,BB5,Black Brant 5C,5.3,.44,1.2,240,68.2,33,195,1
Black Brant VA,BB5,Black Brant 2A,5.2,.44,1,150,111,15,43,1
Black Brant VB,BB5,Black Brant 5B,5.3,.44,1.2,151,89,32.4,62,1
Black Brant VC,BB5,Black Brant 5C,5.3,.44,1.2,240,68.2,33,62,1
Black Brant VI,BB6,Black Brant 6,2,.12,.1,20,7.4,9,101,1
Black Brant VII,BB7,,1.7,.09,0,10,1,4,196,1
Black Knight,BlackKnight,,9,.91,5.4,540,75,140,319,1
Black Knight 301,BlackKnight,,9,.91,5.4,540,75,140,320,1
Black Sparrow,BlackSparrow,,4.8,.53,1.2,,,,218,1
Blok DM-SL,Blok-D,,5.6,3.7,17.3,2720,85,650,17,1
Blok DM-SLB,Blok-D,,5.6,3.7,17.3,2720,85,650,17,1
Blok DM1,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok DM3,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok DM4,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok SO-L,Blok-L,,3.2,2.4,6.2,999,66.7,250,900,1
Blok-2BL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blok-L,Blok-L,,3.2,2.4,7.3,1160,66.7,250,900,1
Blok-ML,Blok-L,,3.2,2.4,6.2,999,66.7,250,900,1
Blok-NVL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blok-VL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blue Sparrow,BlackSparrow,,4.8,.53,1.2,,,,218,1
Blue Streak,BlueStreak,,17.7,3.05,95,6800,1512,161,865,2
Bomarc A,Bomarc,,0,0,0,0,0,0,471,0
Bomarc B,Bomarc,,0,0,0,0,0,0,1223,0
Briz-K,Briz,14S12,2.5,2,6.7,1700,19.6,1000,929,1
Briz-KM,Briz,,2.5,2.5,6.7,1700,19.6,1000,929,1
Briz-M,Briz,,2.8,4.1,22.1,2370,19.6,3000,929,1
Bull Goose,BullGoose,,0,0,0,0,0,0,,0
Bullpup,Bullpup,,3,.3,.3,,111,,159,1
Burya,Burya,La-350,18,2.2,40.8,13000,,0,,1
Burya booster,Burya,,18.9,1.5,27,4000,765,,904,1
