LV_ID,LV_NAME,LV_VARIANT,LV_CLASS,LV_FAMILY_CODE,LV_ALIAS,MIN_STAGE,MAX_STAGE,LENGTH,DIAMETER,LAUNCH_MASS,LEO_CAPACITY,GTO_CAPACITY,TAKEOFF_THRUST,APOGEE,RANGE
143,Atlas Able,,orbital launch vehicle,Atlas,,0,3,35,3.05,120,,0,1629,400000,
144,Atlas Agena A,,orbital launch vehicle,Atlas,,0,2,30,3.05,124,,0,1629,600,
145,Atlas Agena B,,orbital launch vehicle,Atlas,,0,2,32.1,3.05,130,,0,1629,400000,
146,Atlas Agena D,,orbital launch vehicle,Atlas,,0,2,32.1,3.05,130,,800,1590,400000,
147,Atlas B,,orbital launch vehicle,Atlas,,0,1,22,3.05,112.5,68,0,1615,900,6000
148,Atlas Burner 2,,orbital launch vehicle,Atlas,,0,2,28.9,3.05,130,,0,1700,800,
149,Atlas Burner 2A,,orbital launch vehicle,Atlas,,0,3,30,3.05,130,,0,1700,800,
150,Atlas C,,missile,Atlas,,0,1,24,3.05,112.5,0,0,1615,900,8000
151,Atlas C Able,,orbital launch vehicle,Atlas,,0,3,28,3.05,120,170,0,1615,400000,
152,Atlas Centaur,,orbital launch vehicle,Atlas,,0,2,33,3.05,136.1,,1700,1629,400000,
153,Atlas Centaur D,,orbital launch vehicle,Atlas,,0,2,33,3.05,136.1,,1700,1629,400000,
154,Atlas D,,orbital launch vehicle,Atlas,,0,1,24,3.05,119,1400,0,1629,1855,13000
155,Atlas E,,orbital launch vehicle,Atlas,,0,1,20,3.05,121,1700,0,1731,1570,13000
156,Atlas E Altair,,orbital launch vehicle,Atlas,,0,2,27.3,3.05,125,,0,1731,1000,
157,Atlas E/MSD,,orbital launch vehicle,Atlas,,0,2,27.3,3.05,122,1200,0,1731,1100,
158,Atlas E/OIS,,orbital launch vehicle,Atlas,,0,2,28.7,3.05,120,,0,1731,800,
159,Atlas E/SGS-2,,orbital launch vehicle,Atlas,,0,3,32.1,3.05,125,861,0,1731,20000,
160,Atlas E/SVS,,orbital launch vehicle,Atlas,,0,3,29.2,3.05,125,700,0,1731,20000,
161,Atlas E/Trident,,missile,Atlas,,0,2,25,3.05,130,0,0,1731,1500,
162,Atlas F,,orbital launch vehicle,Atlas,,0,1,20,3.05,121,1700,0,1731,1413,13000
163,Atlas F/Agena D,,orbital launch vehicle,Atlas,,0,2,34.6,3.05,130,,0,1731,1000,
164,Atlas F/MSD,,orbital launch vehicle,Atlas,,0,2,27.3,3.05,122,1200,0,1731,1100,
165,Atlas F/OIS,,orbital launch vehicle,Atlas,,0,2,32.1,3.05,120,,0,1731,550,
166,Atlas F/PTS,,orbital launch vehicle,Atlas,,0,2,29.2,3.05,125,295,295,1731,20000,
167,Atlas F/SVS,,orbital launch vehicle,Atlas,,0,3,29.2,3.05,125,700,0,1731,20000,
168,Atlas F/Trident,,missile,Atlas,,0,2,25,3.05,130,0,0,1731,1500,
169,Atlas G Centaur,,orbital launch vehicle,Atlas,,0,2,41.8,3.05,166.1,3630,2400,1987,40000,
170,Atlas H,,orbital launch vehicle,Atlas,,0,1,27.4,3.05,150.5,2000,0,1954,1100,
171,Atlas I,,orbital launch vehicle,Atlas,,0,2,41.8,3.05,166.1,,2250,1987,400000,
172,Atlas II,,orbital launch vehicle,Atlas,,0,2,45,3.05,187,6580,2770,2140,40000,
173,Atlas IIA,,orbital launch vehicle,Atlas,,0,2,47.4,3.05,187.5,7316,3066,2140,100000,
174,Atlas IIAS,,orbital launch vehicle,Atlas,,-1,2,47.4,3.05,237.2,8618,3719,3000,400000,
175,Atlas SLV-3,,orbital launch vehicle,Atlas,,0,1,21,3.05,120,0,0,1650,1500,
176,Atlas SLV-3 Agena B,,orbital launch vehicle,Atlas,,0,2,32.1,3.05,140,,0,1629,400000,
